X,Y,gid,Name,description,CNAME_E,OBJECTID,LABEL_E,C_PREFIX_E,C_PREFIX_A,COMMUNITY_,DGIS_ID,COMM_NUM,NDGIS_ID,SHAPE_AREA,SHAPE_LEN
55.34635112,24.97561805,98,kml_98,,AL YALAYIS 3,120,AL YALAYIS 3,Community:,,AL YALAYIS 3 - 923,211,923,211,12340311.9,16043.2724
55.50421948,24.85639553,99,kml_99,,GRAYTEESAH,121,GRAYTEESAH,Community:,,GRAYTEESAH - 941,215,941,215,91826478.88,41094.52291
55.21190068,24.97495869,97,kml_97,,DUBAI INVESTMENT PARK SECOND,119,DUBAI INVESTMENT PARK SECOND,Community:,,DUBAI INVESTMENT PARK SECOND - 597,137,597,137,18774204.29,17568.89184
55.26671183,25.33285837,100,kml_100,,NAKHLAT DEIRA,122,NAKHLAT DEIRA,Community:,,NAKHLAT DEIRA - 101,245,101,245,99847836.74,44860.53686
54.89687777,24.98724631,101,kml_101,,AL WAJEHA AL BAHRIAH,123,AL WAJEHA AL BAHRIAH,Community:,,AL WAJEHA AL BAHRIAH - 502,242,502,242,124735324,49534.31114
55.27928907,25.21556989,102,kml_102,,TRADE CENTER SECOND,124,TRADE CENTER SECOND,Community:,,TRADE CENTER SECOND - 336,74,336,74,1379918.901,8920.128037
55.27017969,24.97654316,105,kml_105,,AL YALAYIS 5,127,AL YALAYIS 5,Community:,,AL YALAYIS 5 - 925,213,925,213,25164171.91,20113.08465
55.33750937,25.27715351,124,kml_124,,HOR AL ANZ,146,HOR AL ANZ,Community:,,HOR AL ANZ - 127,19,127,19,1750611.051,5474.305993
55.40385763,25.27226792,106,kml_106,,MUHAISANAH THIRD,128,MUHAISANAH THIRD,Community:,,MUHAISANAH THIRD - 244,22,244,22,1753300.757,5783.034834
55.43288321,25.27913705,107,kml_107,,MUHAISANAH FIFTH,129,MUHAISANAH FIFTH,Community:,,MUHAISANAH FIFTH - 267,18,267,18,1961509.116,5797.200829
55.38943444,25.12471671,110,kml_110,,NADD HESSA,132,NADD HESSA,Community:,,NADD HESSA - 626,233,626,233,9804465.229,13833.15897
55.16577237,24.99087359,108,kml_108,,DUBAI INVESTMENT PARK FIRST,130,DUBAI INVESTMENT PARK FIRST,Community:,,DUBAI INVESTMENT PARK FIRST - 598,134,598,134,17167002.88,16628.1439
55.40919567,25.1649877,109,kml_109,,WARSAN FIRST,131,WARSAN FIRST,Community:,,WARSAN FIRST - 621,97,621,97,8426532.678,11420.01587
55.22056174,25.03143497,113,kml_113,,AL HEBIAH FOURTH,135,AL HEBIAH FOURTH,Community:,,AL HEBIAH FOURTH - 682,160,682,160,9145533.767,12792.86616
55.16432265,25.0867714,114,kml_114,,AL THANYAH THIRD,136,AL THANYAH THIRD,Community:,,AL THANYAH THIRD - 388,145,388,145,3842456.339,8778.521194
55.19051097,25.08046564,118,kml_118,,AL THANYAH SECOND,140,AL THANYAH SECOND,Community:,,AL THANYAH SECOND - 384,128,384,128,6228059.326,10798.3736
55.17504569,25.09836516,119,kml_119,,AL THANYAH FIRST,141,AL THANYAH FIRST,Community:,,AL THANYAH FIRST - 383,126,383,126,1069719.845,4163.726723
55.1511146,25.05753149,115,kml_115,,AL THANYAH FIFTH,137,AL THANYAH FIFTH,Community:,,AL THANYAH FIFTH - 393,147,393,147,9714165.181,17231.77422
55.07790742,24.8460013,116,kml_116,,SAIH SHUAIB 3,138,SAIH SHUAIB 3,Community:,,SAIH SHUAIB 3 - 532,170,532,170,16041464.76,17134.59606
55.24599972,25.03492288,117,kml_117,,AL HEBIAH SECOND,139,AL HEBIAH SECOND,Community:,,AL HEBIAH SECOND - 675,157,675,157,3261042.68,7575.238092
55.2014326,25.15108872,120,kml_120,,UMM SUQEIM SECOND,142,UMM SUQEIM SECOND,Community:,,UMM SUQEIM SECOND - 362,107,362,107,3190130.125,9506.621613
55.50929138,24.99257194,126,kml_126,,UMM AL MO'MENEEN,148,UMM AL MO'MENEEN,Community:,,UMM AL MO'MENEEN - 835,188,835,188,32691452.46,24767.18442
55.29476144,25.20275419,121,kml_121,,ZAA'BEEL SECOND,143,ZAA'BEEL SECOND,Community:,,ZAA'BEEL SECOND - 337,77,337,77,10792102.19,15494.27974
55.25531536,25.19616135,122,kml_122,,AL WASL,144,AL WASL,Community:,,AL WASL - 343,79,343,79,4872908.645,9605.821825
55.31982486,25.28236168,123,kml_123,,AL BARAHA,145,AL BARAHA,Community:,,AL BARAHA - 122,17,122,17,1025324.695,4621.82653
55.32042458,25.25883351,125,kml_125,,RIGGAT AL BUTEEN,147,RIGGAT AL BUTEEN,Community:,,RIGGAT AL BUTEEN - 125,45,125,45,806583.6039,4027.397784
55.41605015,25.28627972,130,kml_130,,AL QUSAIS IND. FIFTH,152,AL QUSAIS IND. FIFTH,Community:,,AL QUSAIS IND. FIFTH - 248,10,248,10,2395554.953,6652.788405
55.10455381,24.95362927,131,kml_131,,JABAL ALI INDUSTRIAL SECOND,153,JABAL ALI INDUSTRIAL SECOND,Community:,,JABAL ALI INDUSTRIAL SECOND - 518,173,518,173,32565002.02,23489.85018
56.15484957,24.79839799,154,kml_154,,HATTA,176,HATTA,Community:,,HATTA - 891,138,891,138,128751709.7,53110.47337
55.19482274,25.13895878,155,kml_155,,UMM SUQEIM THIRD,177,UMM SUQEIM THIRD,Community:,,UMM SUQEIM THIRD - 366,113,366,113,2605935.233,8209.107637
55.38407744,25.06759382,173,kml_173,,UMM NAHAD FIRST,195,UMM NAHAD FIRST,Community:,,UMM NAHAD FIRST - 911,202,911,202,14127046.58,15579.57184
55.25287748,25.0217905,132,kml_132,,AL HEBIAH THIRD,154,AL HEBIAH THIRD,Community:,,AL HEBIAH THIRD - 676,230,676,230,4304796.1,8650.081384
55.33895112,25.17715388,133,kml_133,,RAS AL KHOR IND. FIRST,155,RAS AL KHOR IND. FIRST,Community:,,RAS AL KHOR IND. FIRST - 612,92,612,92,2645376.794,6662.084786
55.1568379,24.74846768,211,kml_211,,AL LAYAN 2,7,AL LAYAN 2,Community:,,AL LAYAN 2 - 988,226,988,226,36997664.96,24917.13456
55.33936535,25.05580719,174,kml_174,,UMM NAHAD SECOND,196,UMM NAHAD SECOND,Community:,,UMM NAHAD SECOND - 912,203,912,203,8523799.067,14403.54475
55.2708342,24.88736532,134,kml_134,,AL SELAL,156,AL SELAL,Community:,,AL SELAL - 961,219,961,219,170670828.4,52428.48285
55.57376845,24.73910947,135,kml_135,,AL FAGAA,157,AL FAGAA,Community:,,AL FAGAA - 945,216,945,216,140532310.5,64809.92465
55.3048647,25.02019941,175,kml_175,,AL YALAYIS 1,197,AL YALAYIS 1,Community:,,AL YALAYIS 1 - 921,209,921,209,17795916.94,17470.90326
55.23545055,25.06032583,136,kml_136,,AL BARSHA SOUTH THIRD,158,AL BARSHA SOUTH THIRD,Community:,,AL BARSHA SOUTH THIRD - 673,131,673,131,3743682.722,8291.532595
55.44495649,25.21017491,138,kml_138,,MUSHRAIF,160,MUSHRAIF,Community:,,MUSHRAIF - 252,71,252,71,10472738.81,15015.45724
55.5788179,24.94959633,139,kml_139,,MARGHAM,161,MARGHAM,Community:,,MARGHAM - 841,189,841,189,152594542.1,50952.15833
55.32984836,25.28557643,140,kml_140,,ABU HAIL,162,ABU HAIL,Community:,,ABU HAIL - 126,11,126,11,1273818.633,4637.541984
55.40990245,25.27926352,141,kml_141,,MUHAISANAH FOURTH,163,MUHAISANAH FOURTH,Community:,,MUHAISANAH FOURTH - 245,15,245,15,2323827.242,6776.960211
55.28776047,25.25342734,142,kml_142,,AL RAFFA,164,AL RAFFA,Community:,,AL RAFFA - 316,48,316,48,1228290.581,5176.300719
55.32615648,25.21391027,143,kml_143,,AL JADAF,165,AL JADAF,Community:,,AL JADAF - 326,70,326,70,7240334.255,13184.20382
55.21755836,25.1258338,144,kml_144,,AL QOUZ IND.THIRD,166,AL QOUZ IND.THIRD,Community:,,AL QOUZ IND.THIRD - 368,116,368,116,4402947.392,8766.273472
55.27138527,25.15267309,157,kml_157,,AL QOUZ SECOND,179,AL QOUZ SECOND,Community:,,AL QOUZ SECOND - 355,104,355,104,5324591.098,9575.228128
55.42269116,25.26507458,145,kml_145,,MUHAISANAH SECOND,167,MUHAISANAH SECOND,Community:,,MUHAISANAH SECOND - 264,26,264,26,5577576.861,9912.016607
55.36599738,25.13569632,149,kml_149,,NADD AL SHIBA FOURTH,171,NADD AL SHIBA FOURTH,Community:,,NADD AL SHIBA FOURTH - 617,111,617,111,6169341.642,10239.58181
55.35911464,25.22086534,158,kml_158,,AL KHEERAN,180,AL KHEERAN,Community:,,AL KHEERAN - 412,167,412,167,6313593.768,13348.028
55.2684451,25.01658291,147,kml_147,,AL HEBIAH SIXTH,169,AL HEBIAH SIXTH,Community:,,AL HEBIAH SIXTH - 677,253,677,253,3268265.388,8728.073316
55.35155533,25.09902864,148,kml_148,,WADI AL SAFA 2,170,WADI AL SAFA 2,Community:,,WADI AL SAFA 2 - 643,236,643,236,10531420.09,13742.53273
55.31183521,25.10396665,150,kml_150,,WADI AL SAFA 3,172,WADI AL SAFA 3,Community:,,WADI AL SAFA 3 - 645,237,645,237,30192055.8,29186.41465
55.31081195,25.25406745,153,kml_153,,UMM HURAIR FIRST,175,UMM HURAIR FIRST,Community:,,UMM HURAIR FIRST - 314,49,314,49,984710.3913,4573.281998
55.18528184,25.12107474,156,kml_156,,AL SAFOUH FIRST,178,AL SAFOUH FIRST,Community:,,AL SAFOUH FIRST - 372,117,372,117,5871946.718,10897.51802
55.22606078,25.19823187,152,kml_152,,JUMEIRA ISLAND 2,174,JUMEIRA ISLAND 2,Community:,,JUMEIRA ISLAND 2 - 304,250,304,250,116673.336,1797.922027
55.23958074,25.19938637,159,kml_159,,JUMEIRA SECOND,181,JUMEIRA SECOND,Community:,,JUMEIRA SECOND - 342,81,342,81,3342284.561,9457.35034
55.22969319,25.18360362,160,kml_160,,JUMEIRA THIRD,182,JUMEIRA THIRD,Community:,,JUMEIRA THIRD - 352,86,352,86,3442745.18,9482.043903
55.27333508,25.27427364,163,kml_163,,MADINAT DUBAI AL MELAHEYAH,185,MADINAT DUBAI AL MELAHEYAH,Community:,,MADINAT DUBAI AL MELAHEYAH - 321,14,321,14,22091345.76,21304.94486
55.28645252,25.16730817,161,kml_161,,AL MERKADH,183,AL MERKADH,Community:,,AL MERKADH - 347,95,347,95,10355202.65,14582.05204
55.38689057,24.9896559,162,kml_162,,AL YUFRAH 2,184,AL YUFRAH 2,Community:,,AL YUFRAH 2 - 916,207,916,207,4331598.832,8918.654646
55.21661312,25.16567855,166,kml_166,,UMM SUQEIM FIRST,188,UMM SUQEIM FIRST,Community:,,UMM SUQEIM FIRST - 356,98,356,98,2813891.331,7381.074658
55.36608965,24.98334807,164,kml_164,,AL YUFRAH 3,186,AL YUFRAH 3,Community:,,AL YUFRAH 3 - 918,251,918,251,11109840.84,17297.02122
55.39334147,24.96844677,165,kml_165,,AL YUFRAH 4,187,AL YUFRAH 4,Community:,,AL YUFRAH 4 - 919,252,919,252,11784792.77,14299.10459
55.30455532,25.26026738,167,kml_167,,AL HAMRIYA,189,AL HAMRIYA,Community:,,AL HAMRIYA - 313,44,313,44,827901.6609,3797.764732
55.46585182,25.15407827,188,kml_188,,WARSAN THIRD,210,WARSAN THIRD,Community:,,WARSAN THIRD - 811,180,811,180,10441916.85,15457.62806
55.29307463,25.2620591,168,kml_168,,AL SOUQ AL KABEER,190,AL SOUQ AL KABEER,Community:,,AL SOUQ AL KABEER - 312,43,312,43,874944.9832,4433.158672
