X,Y,gid,Name,description,CNAME_E,OBJECTID,LABEL_E,C_PREFIX_E,C_PREFIX_A,COMMUNITY_,DGIS_ID,COMM_NUM,NDGIS_ID,SHAPE_AREA,SHAPE_LEN
55.21428194,25.14425175,216,kml_216,,AL MANARA,12,AL MANARA,Community:,,AL MANARA - 363,110,363,110,2194559.629,6193.802519
55.38303671,25.21723464,217,kml_217,,NADD SHAMMA,13,NADD SHAMMA,Community:,,NADD SHAMMA - 213,142,213,142,1092960.734,4778.478392
55.20920231,24.80221465,218,kml_218,,MUGATRAH,14,MUGATRAH,Community:,,MUGATRAH - 981,224,981,224,139912556,49720.18636
55.5697082,25.10765171,219,kml_219,,ENKHALI,15,ENKHALI,Community:,,ENKHALI - 724,197,724,197,44497971.7,26462.94371
55.28887684,25.26655924,221,kml_221,,AL SHINDAGHA,17,AL SHINDAGHA,Community:,,AL SHINDAGHA - 311,35,311,35,310840.2848,3577.121511
55.17720889,25.06014479,222,kml_222,,AL THANYAH  FOURTH,18,AL THANYAH  FOURTH,Community:,,AL THANYAH  FOURTH - 394,148,394,148,11078799.92,15108.08886
55.37514755,25.15318054,223,kml_223,,NADD AL SHIBA THIRD,19,NADD AL SHIBA THIRD,Community:,,NADD AL SHIBA THIRD - 616,105,616,105,6320420.25,9742.206276
55.30404257,25.2743475,224,kml_224,,AYAL NASIR,20,AYAL NASIR,Community:,,AYAL NASIR - 116,28,116,28,173100.0775,1686.759706
55.31126223,25.23798309,225,kml_225,,OUD METHA,21,OUD METHA,Community:,,OUD METHA - 319,59,319,59,1515958.337,5255.198422
55.13406873,25.04044811,226,kml_226,,JABAL ALI FIRST,22,JABAL ALI FIRST,Community:,,JABAL ALI FIRST - 591,175,591,175,21323936.17,19717.71866
